student_id,access,engaged,idle_brief,idle_long,off_page_brief,off_page_long,chapter_number,book,submit,learning_duration_rounded
001824fb-a2fd-431d-aef6-7a1250d97a62,12/17/2022 6:17,5663330,2539580,0,6964632,28824125,1,College / Statistics and Data Science (ABC),12/17/2022 23:22,17
001824fb-a2fd-431d-aef6-7a1250d97a62,12/17/2022 23:22,30902762,7473187,10640285,26293671,269960414,2,College / Statistics and Data Science (ABC),1/14/2023 1:36,650
001824fb-a2fd-431d-aef6-7a1250d97a62,1/14/2023 1:39,34127489,1841254,0,16519054,65880895,3,College / Statistics and Data Science (ABC),1/18/2023 21:40,116
001824fb-a2fd-431d-aef6-7a1250d97a62,1/18/2023 21:40,18987025,2935704,3993823,32555608,262471188,4,College / Statistics and Data Science (ABC),1/21/2023 9:13,59
001824fb-a2fd-431d-aef6-7a1250d97a62,1/21/2023 9:27,15971898,6534061,6761110,19225192,320442569,5,College / Statistics and Data Science (ABC),1/25/2023 8:39,95
001824fb-a2fd-431d-aef6-7a1250d97a62,1/25/2023 8:39,17611781,4633424,34569120,24951309,381589591,6,College / Statistics and Data Science (ABC),2/5/2023 0:52,256
001824fb-a2fd-431d-aef6-7a1250d97a62,2/9/2023 5:08,7694589,3205330,6813796,16977336,191195300,8,College / Statistics and Data Science (ABC),2/16/2023 8:12,171
001824fb-a2fd-431d-aef6-7a1250d97a62,2/16/2023 8:12,14350772,5872915,17156743,24631581,341747360,9,College / Statistics and Data Science (ABC),2/24/2023 5:08,188
001824fb-a2fd-431d-aef6-7a1250d97a62,2/27/2023 3:17,9068005,3270863,0,12439017,179859859,10,College / Statistics and Data Science (ABC),3/4/2023 6:59,123
001824fb-a2fd-431d-aef6-7a1250d97a62,3/4/2023 7:11,10808091,1168419,0,9425816,279876478,11,College / Statistics and Data Science (ABC),3/10/2023 4:57,141
001824fb-a2fd-431d-aef6-7a1250d97a62,3/10/2023 4:57,8218595,3897981,2162027,16067562,226457583,12,College / Statistics and Data Science (ABC),3/20/2023 5:45,240
041a771b-41cc-4b36-928d-ec321f918db5,4/4/2023 18:28,6848806,4382202,0,635119,25237537,1,College / Advanced Statistics and Data Science (ABCD),4/10/2023 2:34,128
041a771b-41cc-4b36-928d-ec321f918db5,4/10/2023 2:34,10385954,13424630,0,3193771,62485271,2,College / Advanced Statistics and Data Science (ABCD),6/7/2023 22:08,1411
041a771b-41cc-4b36-928d-ec321f918db5,4/14/2023 16:45,3283693,381110,0,553208,8243433,3,College / Advanced Statistics and Data Science (ABCD),5/23/2023 19:17,938
041a771b-41cc-4b36-928d-ec321f918db5,4/20/2023 3:40,8841034,2279265,2715752,2686253,74600265,5,College / Advanced Statistics and Data Science (ABCD),4/22/2023 2:42,47
041a771b-41cc-4b36-928d-ec321f918db5,4/29/2023 20:59,3817413,2061632,0,345939,24485113,6,College / Advanced Statistics and Data Science (ABCD),6/12/2023 0:07,1035
041a771b-41cc-4b36-928d-ec321f918db5,6/12/2023 0:17,2928272,1554658,0,334620,0,8,College / Advanced Statistics and Data Science (ABCD),6/12/2023 21:48,21
041a771b-41cc-4b36-928d-ec321f918db5,5/16/2023 19:33,5697357,8704407,1049007,1571247,36904989,9,College / Advanced Statistics and Data Science (ABCD),5/20/2023 6:10,82
041a771b-41cc-4b36-928d-ec321f918db5,5/25/2023 1:52,707228,1433512,0,1061228,9212980,10,College / Advanced Statistics and Data Science (ABCD),6/13/2023 19:01,473
041a771b-41cc-4b36-928d-ec321f918db5,5/31/2023 16:29,7935012,1603191,0,2576462,0,11,College / Advanced Statistics and Data Science (ABCD),6/1/2023 2:03,9
041a771b-41cc-4b36-928d-ec321f918db5,6/1/2023 2:10,4622880,3731671,0,368166,2607796,12,College / Advanced Statistics and Data Science (ABCD),6/13/2023 0:41,286
04347fe5-e55a-4adc-86f2-a156ddfcfc13,3/31/2023 18:58,3525173,579028,0,171090,16095828,1,College / Advanced Statistics and Data Science (ABCD),3/31/2023 19:51,0
04347fe5-e55a-4adc-86f2-a156ddfcfc13,3/31/2023 19:51,23766454,4540933,0,7642729,166279232,2,College / Advanced Statistics and Data Science (ABCD),4/2/2023 3:32,31
04347fe5-e55a-4adc-86f2-a156ddfcfc13,4/2/2023 3:33,14328273,5040935,1255573,9507242,340222083,3,College / Advanced Statistics and Data Science (ABCD),4/9/2023 23:32,187
